country_code,country_name,regime,phase3_corridor,scen_s1,scen_s2a,scen_s2b,scen_s3,scen_s4a,scen_s4b,scen_s5,expected_corridor,expected_corridor_rounded,corridor_uncertainty_band,dominant_corridor,p_dominant,fragility_class,class_i_confidence,s2b_dependent,squeeze_flag,breach_flag,lens5_composite_drag_2digit,s5_cascade_priority,scale_tag,narrative_one_liner,derivation_method
HR,Croatia,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.57,n/a,distributional,Class III CEE; sharpest_decline tier.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
HU,Hungary,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.541,n/a,distributional,Class III CEE; unassigned-tier proxy.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
IE,Ireland,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,True,0.406,high,both,Liberal Market Class III + breach + S5 high-priority; expected_corridor near C3.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
IS,Iceland,growth_baseline,1,1,1,1,1,2,2,2,1.25,1,0.585,1,0.75,I,high,False,False,True,0.4375,medium,both,Nordic Class I + breach + small island; cascade priority medium.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
IT,Italy,secular_stagnation_warning,3,2,2,2,3,3,3,3,2.55,3,1.1,3,0.55,III,n/a,False,False,False,0.5756,n/a,distributional,Secular stagnation + Class III + post-growth aggregate; both scales.,P(S|regime=secular_stagnation_warning) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
LI,Liechtenstein,post_growth_empirical,2,2,2,2,2,3,3,3,2.28,2,0.935,2,0.72,II,NA,False,False,True,0.3325,low,aggregate,"Post-growth + breach proxied via CH; tiny economy, low cascade priority.","P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
LT,Lithuania,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5902,n/a,distributional,Class III CEE; sharpest_decline tier.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
LU,Luxembourg,post_growth_empirical,2,2,2,1,2,2,2,3,1.7,2,0.71,2,0.7,I,medium,True,False,True,0.4259,medium,both,Post-growth + breach + S2b-dependent; aggregate-distributional split.,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
LV,Latvia,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,II,NA,False,False,False,0.5924,n/a,aggregate,Growth-baseline C2 (close to C3 floor); reaches C3 under S4a/S4b stress.,"P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
MK,North Macedonia,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,IV,n/a,False,False,False,0.512,active_cascade,distributional,Candidate-partial-coverage Class IV; vuln 0.62.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
MT,Malta,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5556,n/a,distributional,Class III sparse-data island; small but post-recalibration C3.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
NL,Netherlands,growth_baseline,2,1,1,1,2,2,2,3,1.55,2,0.675,2,0.55,I,medium,False,True,True,0.4776,medium,both,Squeeze-flag Class I; Mode 1 vulnerability + breach; medium S5 priority.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
NO,Norway,post_growth_empirical,1,1,1,1,1,2,2,2,1.28,1,0.535,1,0.72,I,high,False,True,True,0.5072,high,both,Nordic Class I + post-growth + breach; cascade priority high (post-growth fiscal headroom).,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
PL,Poland,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.6136,n/a,distributional,Sentinel Class III; structural-bias adjustment locked.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
PT,Portugal,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5826,n/a,distributional,Class III; demographic decline + fragmented ALMP.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
RO,Romania,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,II,NA,False,False,False,0.5533,n/a,aggregate,Growth-baseline C2; reaches C3 under S4a/S4b; lowest Klinger weighting at 2-digit.,"P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
RS,Serbia,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,IV,n/a,False,False,False,0.5044,active_cascade,distributional,"Candidate-partial-coverage Class IV; poly 0.55, eea_vuln 0.60.",P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
SE,Sweden,post_growth_empirical,1,1,1,1,1,2,2,2,1.28,1,0.535,1,0.72,I,medium,False,True,True,0.511,high,both,Nordic Class I knife-edge + post-growth + breach; class_i_confidence=medium.,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
SI,Slovenia,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5415,n/a,distributional,Class III CEE; unassigned-tier proxy.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
SK,Slovakia,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5713,n/a,distributional,Class III CEE; unassigned-tier proxy.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
TR,Turkey,growth_baseline,2,2,2,1,2,3,3,3,2.05,2,0.945,2,0.55,IV,n/a,True,False,False,0.5977,active_cascade,distributional,"Candidate-partial-coverage Class IV; poly 0.67, eea_vuln 0.75, gini 44.8.",P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
UK,United Kingdom,post_growth_empirical,3,2,2,2,3,3,3,3,2.53,3,1.01,3,0.53,III,n/a,False,False,True,0.4888,high,both,Liberal Market Class III + breach + post-growth + S5 high-priority.,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
